Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Nero,Size,75F,,,1009010100500012,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Nero-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Nero,Size,75D,,,1009010100480012,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Nero-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Nero,Size,75C,,,1009010100470012,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Nero-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Nero,Size,75G,,,1009010100510012,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Nero-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,95D,,,1009010100860010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,95E,,,1009010100870010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,95C,,,1009010100850010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,90C,,,1009010100760010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,90D,,,1009010100770010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
sutien-minimiser-cu-dantela-si-arcuri-conte-city-style-rb0009,"Sutien minimiser cu dantelă și arcuri, Conte City Style RB0009","<p>Sutienul minimiser dantelat, cu arcuri și fără întăritură Conte Elegant City Style RB0009, poate fi purtat zilnic pentru ca asigura un comfort sporit si datorita bretelelor groase care asigura o sustinere sporită.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,,TRUE,Color,Piele,Size,90F,,,1009010100790010,0,,0,deny,manual,138,138,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2020/10/Sutien-minimiser-cu-dantela-si-arcuri-Conte-City-Style-RB0009-model-Piele-fata.jpg,g,,,TRUE,,,TRUE,,,active
