"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"costum-baie-din-2-piese-cu-arcuri-fara-intaritura-gisela-3-3421","Costum baie din 2 piese, cu arcuri, fără întăritură, Gisela 3/3421","","","Costume baie","variable","","TRUE","Color","","Size","","","","",0,"",0,"deny","manual","","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-arcuri-fara-intaritura-Gisela-3-3421.jpg",1,"Costum baie din 2 piese, cu arcuri, fără întăritură, Gisela 3-3421","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-arcuri-fara-intaritura-gisela-3-3421","Costum baie din 2 piese, cu arcuri, fără întăritură, Gisela 3/3421","","","Costume baie","variable","","TRUE","Color","Marino","Size","85D","","","8434299548332",0,"",0,"deny","manual","205","205","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-arcuri-fara-intaritura-Gisela-3-3421.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-arcuri-fara-intaritura-gisela-3-3421","Costum baie din 2 piese, cu arcuri, fără întăritură, Gisela 3/3421","","","Costume baie","variable","","TRUE","Color","Marino","Size","85C","","","8434299548288",0,"",0,"deny","manual","205","205","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-arcuri-fara-intaritura-Gisela-3-3421.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-arcuri-fara-intaritura-gisela-3-3421","Costum baie din 2 piese, cu arcuri, fără întăritură, Gisela 3/3421","","","Costume baie","variable","","TRUE","Color","Marino","Size","80C","","","8434299548271",0,"",0,"deny","manual","205","205","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-arcuri-fara-intaritura-Gisela-3-3421.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-gisela-3-3435","Costum baie din 2 piese, cu burete detașabil și fără arcuri, Gisela 3/3435","","","Costume baie","variable","","TRUE","Color","","Size","","","","",0,"",0,"deny","manual","","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-Gisela-33435-fata.jpg",1,"Costum baie din 2 piese, cu burete detașabil și fără arcuri, Gisela 33435 fata","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-gisela-3-3435","Costum baie din 2 piese, cu burete detașabil și fără arcuri, Gisela 3/3435","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","L","","","8434299549100",0,"",0,"deny","manual","236","236","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-Gisela-33435-fata.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-gisela-3-3435","Costum baie din 2 piese, cu burete detașabil și fără arcuri, Gisela 3/3435","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","M","","","8434299549094",0,"",0,"deny","manual","236","236","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-Gisela-33435-fata.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-gisela-3-3435","Costum baie din 2 piese, cu burete detașabil și fără arcuri, Gisela 3/3435","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","S","","","8434299549087",0,"",0,"deny","manual","236","236","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-cu-burete-detasabil-si-fara-arcuri-Gisela-33435-fata.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-push-up-1-si-arcuri-gisela-3-3441","Costum baie din 2 piese, push-up +1 și arcuri, Gisela 3/3441","","","Costume baie","variable","","TRUE","Color","","Size","","","","",0,"",0,"deny","manual","176","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-push-up-1-si-arcuri-Gisela-3-3441-Multicolor.jpg",1,"Costum baie din 2 piese, push-up +1 și arcuri, Gisela 3-3441 Multicolor","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-push-up-1-si-arcuri-gisela-3-3441","Costum baie din 2 piese, push-up +1 și arcuri, Gisela 3/3441","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","85B","","","8434299549476",0,"",1,"deny","manual","176","176","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-push-up-1-si-arcuri-Gisela-3-3441-Multicolor.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-push-up-1-si-arcuri-gisela-3-3441","Costum baie din 2 piese, push-up +1 și arcuri, Gisela 3/3441","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","80B","","","8434299549469",0,"",0,"deny","manual","176","176","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-push-up-1-si-arcuri-Gisela-3-3441-Multicolor.jpg","g","","","TRUE","","","TRUE","","","active"
"costum-baie-din-2-piese-push-up-1-si-arcuri-gisela-3-3441","Costum baie din 2 piese, push-up +1 și arcuri, Gisela 3/3441","","","Costume baie","variable","","TRUE","Color","Multicolor","Size","75B","","","8434299549452",0,"",0,"deny","manual","176","176","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Costum-baie-din-2-piese-push-up-1-si-arcuri-Gisela-3-3441-Multicolor.jpg","g","","","TRUE","","","TRUE","","","active"
"sutien-dantelat-cu-arcuri-si-intaritura-gisela-1-0392","Sutien dantelat, cu arcuri și întăritură, Gisela 1/0392","<p>Sutien cu dantelă fină, susținere cu arcuri și cupe întărite, Gisela 1/0392.</p>
","","Femei","variable","","TRUE","Color","","Size","","","","",0,"",0,"deny","manual","185","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2022/04/Sutien-dantelat-cu-arcuri-si-intaritura-Gisela-1-0392-Cameo.jpg",1,"Sutien dantelat, cu arcuri și întăritură, Gisela 1-0392 Cameo","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"sutien-dantelat-cu-arcuri-si-intaritura-gisela-1-0392","Sutien dantelat, cu arcuri și întăritură, Gisela 1/0392","<p>Sutien cu dantelă fină, susținere cu arcuri și cupe întărite, Gisela 1/0392.</p>
","","Femei","variable","","TRUE","Color","Nero","Size","90D","","","8434299561270",0,"",0,"deny","manual","185","185","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2022/04/Sutien-dantelat-cu-arcuri-si-intaritura-Gisela-1-0392-nero.jpg","g","","","TRUE","","","TRUE","","","active"
