Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
set-pijama-unisex-pentru-copii-2-piese-cu-print-snoopy-gisela-2-20128,"Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128","<p>Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,Pijamale AW23,TRUE,Color,Print,Size,10 EU,,,8434299628799,0,,3,deny,manual,223,223,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-unisex-pentru-copii-2-piese-cu-print-Snoopy-Gisela-2-20128-girl.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-unisex-pentru-copii-2-piese-cu-print-snoopy-gisela-2-20128,"Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128","<p>Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,Pijamale AW23,TRUE,Color,Print,Size,8 EU,,,8434299628782,0,,2,deny,manual,223,223,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-unisex-pentru-copii-2-piese-cu-print-Snoopy-Gisela-2-20128-girl.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-unisex-pentru-copii-2-piese-cu-print-snoopy-gisela-2-20128,"Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128","<p>Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,Pijamale AW23,TRUE,Color,Print,Size,6 EU,,,8434299628775,0,,1,deny,manual,223,223,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-unisex-pentru-copii-2-piese-cu-print-Snoopy-Gisela-2-20128-girl.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-unisex-pentru-copii-2-piese-cu-print-snoopy-gisela-2-20128,"Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128","<p>Set pijama unisex pentru copii, 2 piese, cu print Snoopy, Gisela 2/20128.</p>
",,Apparel & Accessories > Clothing > Women’s Clothing,variable,Pijamale AW23,TRUE,Color,Print,Size,4 EU,,,8434299628768,0,,2,deny,manual,223,223,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-unisex-pentru-copii-2-piese-cu-print-Snoopy-Gisela-2-20128-girl.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-superman-gisela-2-20219,"Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219","<p>Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Muștar,Size,XXL,,,8434299690246,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Superman-Gisela-2-20219-main.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-superman-gisela-2-20219,"Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219","<p>Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Muștar,Size,XL,,,8434299679197,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Superman-Gisela-2-20219-main.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-superman-gisela-2-20219,"Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219","<p>Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Muștar,Size,L,,,8434299679180,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Superman-Gisela-2-20219-main.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-superman-gisela-2-20219,"Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219","<p>Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Muștar,Size,M,,,8434299679173,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Superman-Gisela-2-20219-main.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-superman-gisela-2-20219,"Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219","<p>Set pijama din bumbac, 2 piese, cu print Superman, Gisela 2/20219.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Muștar,Size,S,,,8434299679166,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Superman-Gisela-2-20219-main.jpg,g,,,TRUE,,,TRUE,,,active
set-pijama-din-bumbac-2-piese-cu-print-bugs-bunny-gisela-2-20238,"Set pijama din bumbac, 2 piese, cu print Bugs Bunny, Gisela 2/20238","<p>Set pijama din bumbac, 2 piese, cu print Bugs Bunny, Gisela 2/20238.</p>
",,Apparel & Accessories > Clothing > Men’s Clothing,variable,Pijamale AW24,TRUE,Color,Dungi,Size,XL,,,8434299679913,0,,0,deny,manual,246,246,TRUE,TRUE,,,,,FALSE,,,,,,,new,TRUE,https://conteelegant.ro/wp-content/uploads/2024/10/Set-pijama-din-bumbac-2-piese-cu-print-Bugs-Bunny-Gisela-2-20238-main.jpg,g,,,TRUE,,,TRUE,,,active
