"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Roz deschis","Size","36-39 (23-25)","","","1001290060030746",40,"",58,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-roz.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Turcoaz","Size","36-39 (23-25)","","","1001290060030745",40,"",0,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Turcuaz.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Marino","Size","36-39 (23-25)","","","1001290060030054",40,"",23,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Marino.jpg","g","","","TRUE","","","TRUE","","","active"
"sosete-subtiri-din-poliamida-cu-model-buline-fantasy-16124","Șosete subțiri din poliamidă cu model buline, Conte Elegant Fantasy 16124","<p>Șosete subțiri și transparente din poliamidă cu model buline, Conte Elegant Fantasy 16124. Mărime universală 36-39</p>
","","Femei","variable","Sosete poliamida dama Fantasy","TRUE","Color","Negru","Size","36-39 (23-25)","","","1001290060030003",40,"",51,"deny","manual","16","16","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2019/12/Șosete-subțiri-din-poliamidă-cu-model-buline-Conte-Elegant-Fantasy-16124-Nero.jpg","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","","Size","","","","",70,"",0,"deny","manual","","","TRUE","TRUE","","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale.jpg",1,"Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","FALSE","","","","","","","new","TRUE","","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","Panna","Size","4-L Standard","","","1001142420040097",70,"",0,"deny","manual","52","52","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale.jpg","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","Panna","Size","3-M Standard","","","1001142420030097",70,"",0,"deny","manual","52","52","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale.jpg","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","Panna","Size","2-S Standard","","","1001142420020097",70,"",0,"deny","manual","52","52","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale.jpg","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","Alb","Size","4-L Standard","","","1001142420040006",70,"",0,"deny","manual","52","52","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale-Alb.jpg","g","","","TRUE","","","TRUE","","","active"
"ciorap-mireasa-cu-model-imitatie-portjartier-conte-fantasy-sensuale","Ciorap mireasă cu model imitație portjartier, Conte Fantasy Sensuale","<p>Dres pentru mireasă subțire și elastic cu model imitație portjartier, cusături plane, clin bumbac, Conte Fantasy Sensuale 20 Den.</p>
<p>Indiferent de luna când e nunta, mireasa nu ar trebui să apară cu picioarele goale. Chiar dacă este foarte cald, ciorapii sau dresurile foarte subțiri sunt considerați o componentă obligatorie a imaginii.</p>
","","Ciorapi și Dresuri","variable","","TRUE","Color","Alb","Size","3-M Standard","","","1001142420030006",70,"",0,"deny","manual","52","52","TRUE","TRUE","","","","","FALSE","","","","","","","new","TRUE","https://conteelegant.ro/wp-content/uploads/2020/06/Ciorap-mireasă-cu-model-imitație-portjartier-Conte-Fantasy-Sensuale-Alb.jpg","g","","","TRUE","","","TRUE","","","active"
